1|"Mobile, AL"|"USA"
2|"South Texas"|"USA"
3|"CHItown"|"USA"
4|"Troy, Mi."|"USA"
5|"REV CHI's Antiques & Coll. Lancaster"|"USA"
6|"Sunny Fl"|"USA"
7|"Simcoe, Ontario"|"Canada"
8|"Motown, USA"|"USA"
9|"NE OHIO"|"USA"
10|"O-H-I-O Buckeye Country"|"USA"
11|"Mansfield, Texas"|"USA"
12|"Napa Valley, California"|"USA"
13|"BLAIRSVILLE, PA 15717"|"USA"
14|"BRIDGEVIEW, IL"|"USA"
15|"Ridgefield,CT.06877"|"USA"
16|"Detroit, MI 48224"|"USA"
17|"Western Oregon"|"USA"
18|"PHILADELPHIA, PA"|"USA"
19|"Aberdeen, WA"|"USA"
20|"Philadelphia, PA"|"USA"
21|"-"|"Canada"
22|"branford"|"USA"
23|"Walt Disney World"|"USA"
24|"Amish country Indiana"|"USA"
25|"SAILFISH CAPITOL OF THE WORLD FLORIDA"|"USA"
26|"Northeastern, PA"|"USA"
27|"Check Here for Great Holiday Gifts!"|"USA"
28|"Frederick, MD"|"USA"
29|"Canyon, TX"|"USA"
30|"Blackpool, Lancashire"|"United Kingdom"
31|"NEW HAMPSHIRE"|"USA"
32|"Irvine,CA"|"USA"
33|"ALABAMA"|"USA"
34|"Stanford, CA"|"USA"
35|"HAL'S PLACE"|"USA"
36|"Montreal,Quebec"|"Canada"
37|"New Zealand"|"New Zealand"
38|"mn"|"USA"
39|"HAMBURG PA"|"USA"
40|"Deep in the Heart of Dixie"|"USA"
41|"huntsville, al"|"USA"
42|"ATL"|"USA"
43|"MOTTRAM, CHESHIRE"|"United Kingdom"
44|"Spring Lake, NC"|"USA"
45|"South Fl"|"USA"
46|"ST. LOUIS"|"USA"
47|"hopscotchchild"|"USA"
48|"Shreveport"|"USA"
49|"PALM HARBOR"|"USA"
50|"HAMDEN, CT"|"USA"
51|"marlyand"|"USA"
52|"Sun and Fun"|"USA"
53|"IOWA, USA!!!!"|"USA"
54|"Tri cities"|"USA"
55|"Brew City, USA"|"USA"
56|"WOODINVILLE WASHINGTON"|"USA"
57|"Oklahoma City, OK"|"USA"
58|"Ash Flat, AR."|"USA"
59|"Laguna Beach"|"USA"
60|"Check Out My Other Auctions & Save $$$"|"USA"
61|"MOHAVE DESERT"|"USA"
62|"Saratoga CA"|"USA"
63|"Billpoint & Paypal accepted"|"USA"
64|"CENTRAL CALIFORNIA"|"USA"
65|"Sayreville, N.J."|"USA"
66|"~L@@K AT ALL MY AUCTIONS~Happy Holiday~"|"USA"
67|"Check out my Other Auctions!!!"|"USA"
68|"near Austin, TX"|"USA"
69|"KIDS/WOMEN/MATERNITY-QUALITY ITEMS"|"USA"
70|"Upper Darby, PA"|"USA"
71|"Bag End"|"USA"
72|"Closer to the Magic"|"USA"
73|"HAPPY HOLIDAY'S"|"USA"
74|"Big Sky Country MT"|"USA"
75|"Broad Run,VA"|"USA"
76|"N.E.OHIO"|"USA"
77|"CHAMPAIGN, ILLINOIS GO ILLINI!!!"|"USA"
78|"Fort Riley, Kansas"|"USA"
79|"Shipping all over the world"|"USA"
80|"Northeastern Pa."|"USA"
81|"dover afb"|"USA"
82|"arizona"|"USA"
83|"Ohio....The Diecast State...."|"USA"
84|"Willington, Connecticut"|"USA"
85|"Ft. Lauderdale, FL"|"USA"
86|"Oakland"|"USA"
87|"ca"|"Australia"
88|"HINESVILLE, GA"|"USA"
89|"hants"|"United Kingdom"
90|"PHILLY"|"USA"
91|"Englishtown, New Jersey"|"USA"
92|"Brentwood"|"USA"
93|"wartrace"|"USA"
94|"Galax, Va"|"USA"
95|"Jackson, NJ"|"USA"
96|"Lake Norman, NC"|"USA"
97|"Buffalo,New York"|"USA"
98|"EAST TEXAS"|"USA"
99|"Gillette, Wyoming"|"USA"
100|"Checotah Oklahoma"|"USA"
101|"Medford, NY"|"USA"
102|"Scottsdale"|"USA"
103|"MY COLLECTION in PENNSYLVANIA"|"USA"
104|"EASTERN WA"|"USA"
105|"THE GREAT STATE OF TEXAS"|"USA"
106|"NORWALK,CT"|"USA"
107|"paying bidders only!!"|"USA"
108|"Seymour, Ct"|"USA"
109|"RICHMOND, VA"|"USA"
110|"Beautiful Bay Area"|"USA"
111|"Jordan, MN"|"USA"
112|"Cape Canaveral, FL"|"USA"
113|"COMBINE AUCTIONS & SAVE $ ON SHIPPING!"|"USA"
114|"BRIDGEPORT,CT."|"USA"
115|"Use BUY IT NOW to avoid auction competition!"|"USA"
116|"Westborough, MA"|"USA"
117|"North Pole, GA"|"USA"
118|"The Heart of the Finger Lakes in NY"|"USA"
119|"Webster, TX"|"USA"
120|"Honolulu, HI"|"USA"
